City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
188,Port Elizabeth,ZA,64.4,clear sky,-33.92,25.57,39 On Nile Guest House
189,Sorland,NO,50.77,overcast clouds,67.67,12.69,Sjybrygga fiskecamp
191,Wajima,JP,57.2,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
192,Saint-Ambroise,CA,39.2,moderate rain,48.55,-71.33,Motel Saint-Ambroise
193,Lagoa,PT,62.8,overcast clouds,39.05,-27.98,Casa Das Faias
194,Saint-Augustin,CA,36.66,overcast clouds,51.23,-58.65,Casa Das Faias
198,Klaksvik,FO,44.6,broken clouds,62.23,-6.59,Airbnb rooms
202,Kathmandu,NP,57.2,few clouds,27.72,85.32,Hotel Shanker Kathmandu
207,Baraboo,US,33.8,clear sky,43.47,-89.74,Thunderbird Motor Inn
216,Pierre,US,48.2,clear sky,44.37,-100.35,Ramkota Hotel
218,Shitanjing,CN,33.64,clear sky,39.23,106.34,Ramkota Hotel
219,Watsa,CD,63.97,light rain,3.04,29.54,Hôtel Le Pacifique
222,Bohuslav,UA,44.38,overcast clouds,49.55,30.87,Садиба «Квітуча»
224,Pisco,PE,64.4,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
225,Rathdrum,US,53.6,clear sky,47.81,-116.89,Grizzly Lodge Rathdrum
227,Warwick,US,51.8,moderate rain,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
231,Valparaiso,CL,53.6,scattered clouds,-33.04,-71.63,Hotel Ultramar
232,Sabha,LY,61.63,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
239,Korcula,HR,48.2,clear sky,42.96,17.14,Hotel Marko Polo
246,Nivala,FI,42.01,overcast clouds,63.92,24.97,Hotelli Huiskankorpi / Aseman majatalo
249,Sovetskaya,RU,59.0,moderate rain,44.78,41.17,Hotelli Huiskankorpi / Aseman majatalo
250,Hasaki,JP,62.6,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
254,Zainsk,RU,30.2,overcast clouds,55.32,52.07,Дельфин
264,Turbat,PK,64.81,clear sky,26.0,63.04,Mubashar Quarters
265,Wanxian,CN,58.21,overcast clouds,30.8,108.39,7Days Inn Chongqing Shiqiaopu
266,Linjiang,CN,36.5,clear sky,41.81,126.91,Mingmen Business Hotel
268,Oxbow,CA,37.99,few clouds,49.23,-102.17,Bow Manor Motor Hotel
270,Gerede,TR,32.31,few clouds,40.8,32.2,Hotel Konuk
272,Castel San Giovanni,IT,51.01,broken clouds,45.06,9.43,Hotel Motel 2
274,Turayf,SA,59.0,broken clouds,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
279,Kenai,US,25.0,clear sky,60.55,-151.26,Aspen Extended Stay Suites
280,Havoysund,NO,42.8,clear sky,71.0,24.66,Arctic View Glamping & Restaurant
281,Katsuura,JP,64.4,mist,35.13,140.3,Katsuura Hotel Mikazuki
284,Abu Samrah,SY,58.08,broken clouds,35.3,37.18,Katsuura Hotel Mikazuki
285,Kodiak,US,30.2,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
288,Altay,CN,28.83,clear sky,47.87,88.12,Jinqiao Hotel
290,Viloco,BO,45.45,broken clouds,-16.95,-67.55,URBANIZACION BELEN 2
291,Moorhead,US,35.6,clear sky,46.87,-96.77,"Courtyard by Marriott Fargo Moorhead, MN"
292,Kargasok,RU,28.89,overcast clouds,59.06,80.86,Hotel Kargasok
293,Castro,BR,51.1,few clouds,-24.79,-50.01,CHACARA BAILLY
294,Hamburg,DE,61.0,broken clouds,53.55,10.0,IntercityHotel Hamburg Hauptbahnhof
296,Joshimath,IN,47.89,clear sky,30.57,79.57,Shivalik Camps & Resort
298,Jumla,NP,44.04,clear sky,29.27,82.18,Hotel Sundar Rara Karnali
299,Tasiilaq,GL,28.4,broken clouds,65.61,-37.64,The Red House
300,Dali,CN,58.91,overcast clouds,25.7,100.18,Dali Travelling With Hostel
301,Harboore,DK,55.99,light rain,56.62,8.18,Harboøre Hotel
302,Bure,ET,56.12,broken clouds,10.7,37.07,Holiday
303,Gaildorf,DE,59.0,overcast clouds,49.0,9.77,Pension B19
304,Kargil,IN,25.45,clear sky,34.57,76.1,Caravan Sarai
305,Botou,CN,48.06,clear sky,38.07,116.57,Hanting Hotel Huanghua City Hall
306,Chulym,RU,34.63,overcast clouds,55.1,80.96,"""U Tat'yany"""
307,Tigil,RU,37.69,overcast clouds,57.8,158.67,Tigil'
308,Fangshan,CN,54.0,scattered clouds,39.7,115.99,Super 8 Beijing Fangshan Yanhua Subway Station
309,Veinticinco De Mayo,AR,59.41,clear sky,-35.43,-60.17,Estancia La Rosada
310,Iznoski,RU,42.22,overcast clouds,54.99,35.31,Estancia La Rosada
311,Saint-Francois,FR,64.4,overcast clouds,46.42,3.91,Manoir Du Bonheur
315,Richards Bay,ZA,63.81,heavy intensity rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
318,Isfana,KG,39.2,mist,39.84,69.53,Sayakat
319,Perth,AU,63.0,broken clouds,-31.93,115.83,Parmelia Hilton Perth
320,Avallon,FR,64.0,overcast clouds,47.48,3.9,Hotel d'Avallon Vauban
323,Fortuna,US,64.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
325,Constantine,DZ,50.0,clear sky,36.37,6.61,Grand Hotel Cirta
327,Raton,US,64.4,clear sky,36.9,-104.44,Holiday Inn Express & Suites Raton
331,Zhezkazgan,KZ,37.53,scattered clouds,47.8,67.71,Ul. Ranova 15-1 Kvartiry Posutochno.
335,Sitka,US,46.4,heavy intensity rain,57.05,-135.33,Westmark Sitka
337,Anderson,US,64.4,clear sky,34.53,-82.65,The Bleckley Inn
338,Disna,BY,38.05,broken clouds,55.57,28.2,The Bleckley Inn
339,Portland,US,64.99,clear sky,45.52,-122.68,The Bidwell Marriott Portland
340,Bognor Regis,GB,62.01,overcast clouds,50.78,-0.68,Royal Norfolk Hotel
343,Jalu,LY,64.58,clear sky,29.03,21.55,Jalu Hotel
345,Tilichiki,RU,28.18,broken clouds,60.47,166.1,Jalu Hotel
347,Cascais,PT,64.0,overcast clouds,38.7,-9.42,Hotel Vila Galé Cascais
348,Miyang,CN,62.92,overcast clouds,24.4,103.44,Huibinlou Hotel
349,Vyazma,RU,40.86,overcast clouds,55.21,34.3,«Континенталь» - гостинично-ресторанный комплекс
352,Faya,SA,59.0,clear sky,18.39,42.45,مقبرة ال مجمل
353,Billings,US,62.6,few clouds,45.78,-108.5,Best Western Plus Clocktower Inn
356,Auburn,US,59.0,clear sky,47.31,-122.23,La Quinta Inn & Suites by Wyndham Auburn
357,Hofn,IS,36.99,clear sky,64.25,-15.21,Hótel Höfn
359,Young,UY,56.19,clear sky,-32.68,-57.63,Posada Gira el Sol
361,Taiyuan,CN,33.8,clear sky,37.87,112.56,Taiyuan Wanda Wenhua Hotel
362,Leshukonskoye,RU,28.89,overcast clouds,64.9,45.76,Gostinitsa Mup Zhkkh
366,Cusco,PE,60.8,scattered clouds,-13.52,-71.98,Belmond Hotel Monasterio
368,Hami,CN,37.29,clear sky,42.8,93.45,Laoyutang Resort
369,Severomorsk,RU,39.2,broken clouds,69.07,33.42,Apartment on Polyarnaya 4
