City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
83,Pozo Colorado,PY,-23.49,-58.8,74.86,51,3,8.7,clear sky
84,Cape Town,ZA,-33.93,18.42,66.99,42,0,25.28,clear sky
85,Itaituba,BR,-4.28,-55.98,77.0,100,40,2.19,scattered clouds
86,Pital,CO,2.27,-75.8,76.19,66,50,2.39,scattered clouds
87,Tokur,RU,53.13,132.9,26.06,94,100,3.42,overcast clouds
88,Hue,VN,16.47,107.6,77.0,94,75,6.93,light rain
89,Busselton,AU,-33.65,115.33,68.0,46,2,4.94,clear sky
90,Kodiak,US,57.79,-152.41,33.8,74,90,5.82,overcast clouds
91,Morden,CA,49.19,-98.1,32.0,97,90,3.36,overcast clouds
92,Bijie,CN,27.31,105.29,58.39,92,38,3.24,scattered clouds
93,Kununurra,AU,-15.77,128.73,82.4,74,55,3.36,broken clouds
94,Yasenskaya,RU,46.36,38.27,60.82,80,37,5.79,scattered clouds
95,Liverpool,GB,53.41,-2.98,53.6,87,75,11.41,broken clouds
96,Guerrero Negro,MX,27.98,-114.06,60.42,74,59,1.28,broken clouds
97,Rio Grande,BR,-32.03,-52.1,64.99,81,75,3.0,broken clouds
98,Shieli,KZ,44.17,66.75,48.43,46,0,13.27,clear sky
99,Avarua,CK,-21.21,-159.78,73.4,78,100,5.82,overcast clouds
100,Roebourne,AU,-20.78,117.13,77.76,58,6,15.82,clear sky
101,Mangrol,IN,21.12,70.12,81.79,64,0,7.54,clear sky
102,Tabuk,PH,17.42,121.44,74.25,87,95,8.46,overcast clouds
103,Santa Cruz,BO,-17.8,-63.17,78.8,34,75,24.16,broken clouds
104,Norman Wells,CA,65.28,-126.83,6.87,92,93,5.01,overcast clouds
105,Hervey Bay,AU,-25.3,152.85,75.99,83,0,7.0,clear sky
106,Milledgeville,US,33.08,-83.23,61.0,72,1,10.45,clear sky
107,Sebaco,NI,12.85,-86.1,69.8,94,75,11.41,broken clouds
108,Emerald,AU,-23.53,148.17,77.0,57,50,5.82,light rain
109,New Norfolk,AU,-42.78,147.06,46.99,63,6,1.54,clear sky
110,Dire,ML,12.28,-10.97,96.4,16,0,7.31,clear sky
111,Tiksi,RU,71.69,128.87,12.31,96,100,6.22,overcast clouds
112,Kamiiso,JP,41.82,140.65,44.65,82,0,8.3,clear sky
113,Codrington,AU,-38.27,141.97,52.23,84,0,11.7,clear sky
114,Ancud,CL,-41.87,-73.82,54.0,76,0,13.87,clear sky
115,Bredasdorp,ZA,-34.53,20.04,66.2,39,0,11.41,clear sky
116,Marzuq,YE,14.4,46.47,79.92,25,0,5.46,clear sky
117,Ocampo,MX,21.65,-101.5,49.55,84,58,9.66,broken clouds
118,Pedasi,PA,7.53,-80.03,80.19,80,74,7.25,light rain
119,Watsa,CD,3.04,29.54,71.64,81,100,1.23,overcast clouds
120,Tuktoyaktuk,CA,69.45,-133.04,5.05,94,62,7.45,broken clouds
121,Ponta Do Sol,PT,32.67,-17.1,75.2,64,20,19.46,few clouds
122,Kousseri,CM,12.08,15.03,100.4,16,0,12.75,clear sky
123,Westport,US,41.14,-73.36,37.0,93,90,19.46,moderate rain
124,Broken Hill,AU,-31.95,141.43,57.2,71,40,21.92,scattered clouds
125,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,100,75,6.71,broken clouds
126,Faya,SA,18.39,42.45,73.4,49,20,12.75,few clouds
127,San Cristobal,VE,7.77,-72.22,80.6,83,75,2.24,broken clouds
128,Luganville,VU,-15.53,167.17,77.85,84,29,9.51,light rain
129,Ossora,RU,59.24,163.07,31.1,94,74,3.91,broken clouds
130,Yerbogachen,RU,61.28,108.01,13.59,95,100,5.84,overcast clouds
131,Kirakira,SB,-10.45,161.92,76.48,80,100,7.31,overcast clouds
132,Talas,TR,38.69,35.55,69.8,30,40,1.12,scattered clouds
133,Praia,CV,14.92,-23.51,87.8,55,0,21.92,clear sky
134,Zverinogolovskoye,RU,54.46,64.85,29.98,95,6,6.33,clear sky
135,Bambous Virieux,MU,-20.34,57.76,71.01,50,5,4.0,clear sky
136,Taltal,CL,-25.4,-70.48,64.42,56,4,6.08,clear sky
137,Mbandaka,CD,0.05,18.26,82.18,60,1,3.0,clear sky
138,Upernavik,GL,72.79,-56.15,22.32,97,100,4.23,overcast clouds
